Title,Discreption,price,,,,
Land type:,Residential,Land size:,15.0 perches,"Rs 525,000 per perch",,
Land type:,Residential,Land size:,9.5 perches,"Rs 490,000 per perch",,
Address:,kotagedara,Land type:,Residential,Land size:,9.5 perches,"Rs 4,700,000 total price"
Address:,kahathuduwa,Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 395,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Makandana,Land type:,Residential,Land size:,6.5 perches,"Rs 765,000 per perch"
Address:,batuwandara piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 860,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala 120 bus road,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Address:,Mandawila Road,Land type:,"Residential, Other",Land size:,10.0 perches,"Rs 790,000 per perch"
Address:,මාකන්දන,Land type:,Residential,Land size:,7.5 perches,"Rs 810,000 per perch"
Address:,පිලියන්දල,Land type:,Residential,Land size:,6.5 perches,"Rs 5,200,000 total price"
Address:,"පිළියන්දල ,මාකන්දන",Land type:,Residential,Land size:,8.0 perches,"Rs 800,000 per perch"
Address:,piliyandala kesbawa,Land type:,Residential,Land size:,7.0 perches,"Rs 800,000 per perch"
Address:,madapatha road piliyandala,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 800,000 per perch"
Address:,Madapatha road piliyandala,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,madapatha,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Polgasowita,Land type:,Residential,Land size:,6.8 perches,"Rs 400,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.6 perches,"Rs 818,950 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
